model,tree_complexity,learning_rate,bag_fraction,best_trees,training_deviance_explained,cv_deviance,cv_deviance_se,training_auc,cv_auc,cv_auc_se
static_full_sample_reference,1,0.001,0.5,1850,14.100325801084326,1.3551356397062682,0.20629885050505328,0.742,0.69035,0.03551463313433869
static_on_sst_sample,1,0.001,0.5,2300,13.850505536392586,1.3482252494291809,0.1844763702302518,0.7461,0.68165,0.03648640157647777
static_plus_sst,1,0.001,0.5,3700,16.380483392867536,1.3318238205230406,0.17802820106828499,0.7719,0.7043,0.02693427184833479
static_on_chla_sample,1,0.001,0.5,1750,12.174774662645682,1.3178787908396863,0.040293251052436474,0.7541,0.691125,0.029783479061385697
static_plus_chla,1,0.001,0.5,2950,16.89111109242979,1.280921400199337,0.03882856603254866,0.7694,0.719275,0.028116939585713575
static_on_kd490_sample,1,0.001,0.5,2350,12.870927445278275,1.3593492877809825,0.16231374291516756,0.7625,0.683625,0.038884966568071014
static_plus_kd490,1,0.001,0.5,2950,18.10694896966733,1.3047002353736792,0.19509005043355002,0.8028,0.7513,0.03481580101046075
static_on_combined_sample,1,0.001,0.5,850,8.646441930339916,1.3367826578910287,0.058261774303819965,0.7551,0.69945,0.025275828374160158
combined_all_predictors,1,0.001,0.5,2100,16.924664725320838,1.2827585941453055,0.09070109187965655,0.799,0.732375,0.0316495227715469
