DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
254022,254022,UT,Strong,08-Apr-2024,17:21:04,08-Apr-2024,17:20:00
254022,254022,UT,Strong,11-Sep-2024,16:06:32,11-Sep-2024,16:06:31
