model,tree_complexity,learning_rate,bag_fraction,best_trees,training_deviance_explained,cv_deviance,cv_deviance_se,training_auc,cv_auc,cv_auc_se
static_full_sample_reference,1,0.001,0.5,2000,10.140808892453201,1.4163327516759732,0.2601156730009944,0.7094,0.660325,0.037516937841460374
static_on_sst_sample,1,0.001,0.5,2150,10.08232665357373,1.4325521039827396,0.29015228563185663,0.7202,0.649575,0.032287984736327734
static_plus_sst,1,0.001,0.5,3350,12.222376263433338,1.4220169485317782,0.294505925929826,0.7457,0.655375,0.030440170142976085
static_on_chla_sample,1,0.001,0.5,1900,9.709375870076984,1.4246428808568037,0.2659294486990085,0.7053,0.6585000000000001,0.038878443041527946
static_plus_chla,1,0.001,0.5,3500,17.277301420741768,1.3296565726955385,0.24223007996242052,0.758,0.717125,0.024918546473125858
static_on_kd490_sample,1,0.001,0.5,2200,10.337451829172647,1.4161525701362578,0.25618525880586807,0.7131,0.655225,0.035231623460559774
static_plus_kd490,1,0.001,0.5,3650,15.85158541879399,1.3546210967413719,0.2399729677267628,0.7551,0.702,0.01613045773270759
static_on_combined_sample,1,0.001,0.5,2250,9.806508095055927,1.4541324077668376,0.30599438301081916,0.7176,0.649525,0.030859692561657194
combined_all_predictors,1,0.001,0.5,3450,20.023860492858862,1.3160010202413979,0.2802259488557919,0.787,0.712075,0.019234143902619297
