tags,n_locations,start_time,end_time,min_interval_hours,median_interval_hours,max_interval_hours
254025_0,155,2024-05-12T05:00:00Z,2024-06-19T17:00:00Z,6,6,6
254026_0,70,2024-04-08T17:00:00Z,2024-04-25T23:00:00Z,6,6,6
254026_2,117,2024-05-14T18:00:00Z,2024-06-12T18:00:00Z,6,6,6
254027_0_t1,32,2024-04-11T17:00:00Z,2024-04-19T11:00:00Z,6,6,6
254027_0_t2,127,2024-04-19T23:00:00Z,2024-05-21T11:00:00Z,6,6,6
254030_0,152,2024-04-08T17:00:00Z,2024-05-16T11:00:00Z,6,6,6
