original_track_id,n_original,n_anywhere_inside,n_selected,pct_original_retained
254025_0,282,195,155,54.9645390070922
254026_0,111,101,70,63.06306306306306
254026_2,117,117,117,100
254027_0,162,162,162,100
254030_0,152,152,152,100
