model,tree_complexity,learning_rate,bag_fraction,best_trees,training_deviance_explained,cv_deviance,cv_deviance_se,training_auc,cv_auc,cv_auc_se
static_full_sample_reference,1,0.001,0.5,4650,17.649484344890553,1.21844685649983,0.07356878759184692,0.7618,0.708925,0.01769201208643798
static_on_sst_sample,1,0.001,0.5,5500,19.283120754684294,1.199501345885587,0.05459185468422989,0.7776,0.744,0.020553831759552766
static_plus_sst,1,0.001,0.5,6750,21.4825819069612,1.1762394538076117,0.05638339028489656,0.7923,0.75605,0.02059200896788201
static_on_chla_sample,1,0.001,0.5,4500,17.736570773907715,1.214315776514777,0.0797009803869873,0.7602,0.70825,0.018406181027035475
static_plus_chla,1,0.001,0.5,3050,20.774879085253676,1.194310223483945,0.038717854910627465,0.7907,0.75925,0.030738426006113807
static_on_kd490_sample,1,0.001,0.5,5000,17.770298601971096,1.2206650252886424,0.07366812133489575,0.7626,0.7091000000000001,0.017899115434382044
static_plus_kd490,1,0.001,0.5,5300,23.15752950988925,1.16322693507252,0.05081884532920371,0.8068,0.7647,0.030481825185947546
static_on_combined_sample,1,0.001,0.5,5450,19.4848805943693,1.2039297789277852,0.0742332416038523,0.7752,0.7369,0.019857450323073535
combined_all_predictors,1,0.001,0.5,4300,26.709959195200174,1.1815991847969398,0.062408011547490656,0.8266,0.793925,0.05016081430426211
