fold_whale,whale_id,combined_cv_auc,matched_static_cv_auc,delta_cv_auc
1,254025,0.9325,0.7962,0.13629999999999998
2,254026,0.6944,0.7223,-0.027900000000000036
3,254027,0.7617,0.7158,0.04590000000000005
4,254030,0.7871,0.7133,0.07379999999999998
