whale_id,combined_retained,n,lon_min,lon_max,lon_median,lat_min,lat_max,lat_median
254025,FALSE,61,-123.1197047,-121.7049392,-122.3457644,35.72128451,37.42626179,36.83576762
254025,TRUE,93,-122.8958544,-122.043874,-122.4928121,36.61004512,37.20775954,36.93077982
254026,FALSE,57,-122.9888367,-121.8537165,-122.163277,35.93446672,37.53680621,36.6972566
254026,TRUE,128,-123.2793339,-121.4708057,-122.02575105,35.74681354,37.85933616,36.79129988
254027,FALSE,49,-123.0348263,-121.8262523,-121.9475505,36.64026924,37.66316814,36.84552317
254027,TRUE,105,-123.1038425,-121.8193478,-122.220201,36.6613283,37.6986876,36.87959925
254030,FALSE,46,-122.935198,-122.0429471,-122.550097,36.66129894,37.4984374,36.984817385
254030,TRUE,105,-122.9013831,-121.8724711,-122.5640903,36.72961633,37.53609448,37.12386246
