whale_id,full_start,full_end,retained_start,retained_end,total_choices,retained_choices
254025,2024-05-12,2024-06-19,2024-05-19,2024-06-19,154,93
254026,2024-04-08,2024-06-12,2024-04-08,2024-06-12,185,128
254027,2024-04-11,2024-05-21,2024-04-11,2024-05-21,154,105
254030,2024-04-08,2024-05-16,2024-04-09,2024-05-10,151,105
