var,rel.inf
chla_mg_m3,68.8537954677808
dist_200m_isobath_km,13.584311857765403
depth_m,9.947080316208769
sst_c,3.1516504949297923
kd490_m_inverse,2.0136912163223615
rugosity_sd_2p5km_m,1.3385325054300357
slope_deg,1.1109381415628317
sst_front_position,0
