"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",254026,6218,36.94933,-122.06374,3,04/08/2024 17:19:57,Argos,0,359,NP,,401677666.2,04/08/2024 17:17:44,1,5,0,-122,401677666.2,-122.06374,36.94933,-122.06374,36.94933,60,0,131,208,82,103,342,105,175,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.94933,-122.06374,3,04/08/2024 17:19:57,Argos,0,359,NP,,401677666.2,04/08/2024 17:19:12,1,5,0,-122,401677666.2,-122.06374,36.94933,-122.06374,36.94933,60,0,131,208,82,103,342,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.94933,-122.06374,3,04/08/2024 17:19:57,Argos,0,359,NP,,401677666.2,04/08/2024 17:20:42,1,5,0,-122,401677666.2,-122.06374,36.94933,-122.06374,36.94933,60,0,131,208,82,103,342,93,16,165,253,232,151,49,17,20,69,88,210,150,3,203,30,1,255,1,201,80,0,0,,,,,,,,,
"",254026,6218,36.94933,-122.06374,3,04/08/2024 17:19:57,Argos,0,359,NP,,401677666.2,04/08/2024 17:22:13,1,5,0,-122,401677666.2,-122.06374,36.94933,-122.06374,36.94933,60,0,131,208,82,103,342,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.94933,-122.06374,3,04/08/2024 17:19:57,Argos,0,359,NP,,401677666.2,04/08/2024 17:23:43,1,5,0,-122,401677666.2,-122.06374,36.94933,-122.06374,36.94933,60,0,131,208,82,103,342,53,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.94933,-122.06374,3,04/08/2024 17:19:57,Argos,0,359,NP,,401677666.2,04/08/2024 17:25:13,1,5,0,-122,401677666.2,-122.06374,36.94933,-122.06374,36.94933,60,0,131,208,82,103,342,64,129,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.94863,-122.06306,B,04/08/2024 17:34:20,Argos,0,0,MB,,401677661.65,04/08/2024 17:34:20,1,1,0,-128,401677661.65,-122.06306,36.94863,-122.06306,36.94863,6,3,759,955,602,90,1480,78,102,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,,,,,,,0,NP,,401650000,04/11/2024 16:44:01,1,1,0,-128,401650000,,,,,,,,,,,,102,140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79027,-121.81433,2,04/11/2024 17:16:00,Argos,0,418,MC,,401677676.71,04/11/2024 17:15:00,1,4,0,-125,401677676.71,-121.81433,36.79027,-121.81433,36.79027,50,3,391,1333,114,132,491,53,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79027,-121.81433,2,04/11/2024 17:16:00,Argos,0,418,MC,,401677676.71,04/11/2024 17:17:02,1,4,0,-125,401677676.71,-121.81433,36.79027,-121.81433,36.79027,50,3,391,1333,114,132,491,83,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79027,-121.81433,2,04/11/2024 17:16:00,Argos,0,418,MC,,401677676.71,04/11/2024 17:21:18,1,4,0,-125,401677676.71,-121.81433,36.79027,-121.81433,36.79027,50,3,391,1333,114,132,491,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79027,-121.81433,2,04/11/2024 17:16:00,Argos,0,418,MC,,401677676.71,04/11/2024 17:21:58,1,4,0,-125,401677676.71,-121.81433,36.79027,-121.81433,36.79027,50,3,391,1333,114,132,491,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79099,-121.81324,B,04/11/2024 18:10:42,Argos,0,178,MB,,401677679.64,04/11/2024 18:10:42,1,2,0,-131,401677679.64,-121.81324,36.79099,-121.81324,36.79099,8,3,946,8428,106,92,2072,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.78962,-121.81402,B,04/11/2024 18:10:42,Argos,0,0,NN,,401677680.36,04/11/2024 18:10:42,1,1,0,-135,401677680.36,-121.81402,36.78962,-121.81402,36.78962,0,3,1276,1660,979,89,2796,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79099,-121.81324,B,04/11/2024 18:10:42,Argos,0,178,MB,,401677679.64,04/11/2024 18:13:40,1,2,0,-131,401677679.64,-121.81324,36.79099,-121.81324,36.79099,8,3,946,8428,106,92,2072,94,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79624,-121.81312,1,04/11/2024 18:19:24,Argos,0,234,NP,,401677682.61,04/11/2024 18:17:28,1,4,0,-131,401677682.61,-121.81312,36.79624,-121.81312,36.79624,56,3,681,873,530,13,334,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254026,6218,36.79624,-121.81312,1,04/11/2024 18:19:24,Argos,0,234,NP,,401677682.61,04/11/2024 18:18:23,1,4,0,-131,401677682.61,-121.81312,36.79624,-121.81312,36.79624,56,3,681,873,530,13,334,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
