DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
254026,254026,UT,17:19:57 08-Apr-2024,Argos,3,36.9493,-122.0637,131,208,82,103,,,,,,
254026,254026,UT,17:34:20 08-Apr-2024,Argos,B,36.9486,-122.0631,759,955,602,90,,,,,,
254026,254026,UT,16:50:37 11-Apr-2024,User,,36.8021,-121.8091,,,,,,,,,,
254026,254026,UT,17:16:00 11-Apr-2024,Argos,2,36.7903,-121.8143,391,1333,114,132,,,,,,
254026,254026,UT,18:10:42 11-Apr-2024,Argos,B,36.7910,-121.8132,946,8428,106,92,,,,,,
254026,254026,UT,18:10:42 11-Apr-2024,Argos,B,36.7896,-121.8140,1276,1660,979,89,,,,,,
254026,254026,UT,18:19:24 11-Apr-2024,Argos,1,36.7962,-121.8131,681,873,530,13,,,,,,
254026,254026,UT,19:41:17 11-Apr-2024,Argos,B,36.7999,-121.8023,5471,6603,4533,102,,,,,,
254026,254026,UT,00:06:32 12-Apr-2024,Argos,A,36.7942,-121.9048,1509,21227,107,90,,,,,,
254026,254026,UT,02:16:50 12-Apr-2024,Argos,1,36.7924,-121.8426,1351,8769,208,111,,,,,,
254026,254026,UT,02:18:50 12-Apr-2024,Argos,2,36.7989,-121.8444,384,1747,84,84,,,,,,
254026,254026,UT,02:29:32 12-Apr-2024,Argos,0,36.8007,-121.8581,2453,7130,843,174,,,,,,
254026,254026,UT,03:00:08 12-Apr-2024,Argos,B,36.7995,-121.8553,6680,7926,5628,88,,,,,,
254026,254026,UT,04:00:24 12-Apr-2024,Argos,B,36.7918,-121.8539,3727,7612,1824,167,,,,,,
254026,254026,UT,04:02:06 12-Apr-2024,Argos,1,36.7872,-121.8758,561,1918,163,95,,,,,,
254026,254026,UT,04:07:20 12-Apr-2024,Argos,3,36.7850,-121.8990,194,209,179,84,,,,,,
254026,254026,UT,05:25:10 12-Apr-2024,Argos,B,36.8046,-121.9012,1478,14581,149,84,,,,,,
254026,254026,UT,05:26:13 12-Apr-2024,Argos,A,36.8064,-121.9571,1276,14458,112,92,,,,,,
254026,254026,UT,06:19:18 12-Apr-2024,Argos,B,36.8109,-121.9536,3171,5769,1743,120,,,,,,
254026,254026,UT,06:26:10 12-Apr-2024,Argos,1,36.8060,-121.9368,1094,3466,345,119,,,,,,
254026,254026,UT,07:10:28 12-Apr-2024,Argos,3,36.7926,-121.9400,124,214,71,100,,,,,,
254026,254026,UT,08:01:15 12-Apr-2024,Argos,3,36.7769,-121.9351,186,1224,28,80,,,,,,
254026,254026,UT,12:00:16 12-Apr-2024,Argos,B,36.7510,-121.9379,2625,3109,2215,78,,,,,,
254026,254026,UT,12:15:27 12-Apr-2024,Argos,0,36.8157,-121.9384,4923,11132,2177,14,,,,,,
254026,254026,UT,13:31:29 12-Apr-2024,Argos,B,36.7912,-121.9336,9079,151949,542,79,,,,,,
254026,254026,UT,13:59:19 12-Apr-2024,Argos,B,36.7864,-121.9327,10283,24465,4322,80,,,,,,
254026,254026,UT,14:26:01 12-Apr-2024,Argos,A,36.7947,-121.9257,124,396,38,64,,,,,,
254026,254026,UT,15:11:11 12-Apr-2024,Argos,B,36.8122,-121.9158,3951,5936,2629,94,,,,,,
254026,254026,UT,15:32:22 12-Apr-2024,Argos,B,36.8109,-121.9171,4007,5822,2757,96,,,,,,
254026,254026,UT,16:32:19 12-Apr-2024,Argos,A,36.8255,-121.9395,1973,8064,482,59,,,,,,
254026,254026,UT,16:32:19 12-Apr-2024,Argos,B,36.8221,-121.9453,1300,4876,346,60,,,,,,
254026,254026,UT,16:59:57 12-Apr-2024,Argos,B,36.8144,-121.9530,1514,2863,800,69,,,,,,
254026,254026,UT,18:05:10 12-Apr-2024,Argos,B,36.8092,-121.9543,1172,11172,122,58,,,,,,
254026,254026,UT,18:36:00 12-Apr-2024,Argos,1,36.7916,-121.9263,1433,7949,258,87,,,,,,
254026,254026,UT,19:29:45 12-Apr-2024,Argos,2,36.7854,-121.8879,355,1125,112,82,,,,,,
254026,254026,UT,20:06:41 12-Apr-2024,Argos,A,36.7773,-121.9094,208,766,56,74,,,,,,
254026,254026,UT,21:41:53 12-Apr-2024,Argos,B,36.7546,-121.8887,1013,9548,107,58,,,,,,
254026,254026,UT,23:23:31 12-Apr-2024,Argos,B,36.7614,-121.8891,1289,4373,380,58,,,,,,
254026,254026,UT,01:03:00 13-Apr-2024,Argos,0,36.7669,-121.9148,2627,16087,429,103,,,,,,
254026,254026,UT,02:02:16 13-Apr-2024,Argos,B,36.7622,-121.9145,8261,11747,5808,93,,,,,,
254026,254026,UT,03:28:37 13-Apr-2024,Argos,B,36.7579,-121.9181,5258,55174,501,164,,,,,,
254026,254026,UT,03:28:37 13-Apr-2024,Argos,A,36.7731,-121.9280,192,530,69,130,,,,,,
254026,254026,UT,04:18:31 13-Apr-2024,Argos,A,36.7486,-121.9139,186,421,82,39,,,,,,
254026,254026,UT,05:32:18 13-Apr-2024,Argos,0,36.7497,-121.9355,1711,9619,304,90,,,,,,
254026,254026,UT,06:02:53 13-Apr-2024,Argos,B,36.7460,-121.9377,4349,5833,3241,92,,,,,,
254026,254026,UT,07:03:05 13-Apr-2024,Argos,B,36.7409,-121.9402,6032,7619,4775,90,,,,,,
254026,254026,UT,07:14:02 13-Apr-2024,Argos,B,36.7253,-121.9393,768,2638,223,174,,,,,,
254026,254026,UT,13:06:23 13-Apr-2024,Argos,A,36.7765,-121.8362,12321,130259,1165,53,,,,,,
