DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
254026,254026,UT,17:17:44 08-Apr-2024,,,3,36.9493,-122.0637,CRC 9.10,,,105,175,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,18:29:14 11-Apr-2024,,,1,36.7962,-121.8131,CRC 15.10,,,15,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,02:22:28 12-Apr-2024,,,2,36.7989,-121.8444,CRC 9.15,02:22:28 12-Apr-2024,Status,57,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,04:07:20 12-Apr-2024,,,3,36.7850,-121.8990,CRC 6.10,04:07:20 12-Apr-2024,Status,86,28,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,05:24:32 12-Apr-2024,,,A,36.8064,-121.9571,CRC 10.8,05:24:32 12-Apr-2024,Status,74,16,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,05:25:10 12-Apr-2024,,,B,36.8046,-121.9012,CRC 11.4,05:25:10 12-Apr-2024,Status,27,158,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,05:28:27 12-Apr-2024,,,B,36.8046,-121.9012,,,,98,136,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,06:19:36 12-Apr-2024,,,B,36.8109,-121.9536,CRC 13.8,06:19:36 12-Apr-2024,Status,77,71,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,13:59:19 12-Apr-2024,,,B,36.7864,-121.9327,CRC 11.4,13:59:19 12-Apr-2024,Status,27,143,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,19:32:36 12-Apr-2024,,,2,36.7854,-121.8879,CRC 183.41,08:30:50 09-Apr-2024,Status,86,240,165,253,239,108,78,226,132,161,236,182,80,57,170,215,148,120,166,196,120,216,170,,,,,,,,,
254026,254026,UT,23:23:00 12-Apr-2024,,,B,36.7614,-121.8891,CRC 11.8,23:23:00 12-Apr-2024,Status,59,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,03:29:57 13-Apr-2024,,,B,36.7579,-121.9181,CRC 208.204,03:30:58 13-Apr-2024,Status,90,16,165,253,232,151,49,22,246,141,238,146,82,10,1,14,1,123,23,214,96,192,57,,,,,,,,,
254026,254026,UT,03:29:57 13-Apr-2024,,,A,36.7731,-121.9280,CRC 208.1,03:30:58 13-Apr-2024,Status,90,16,165,253,232,151,49,22,246,141,238,146,82,10,1,14,1,123,23,212,105,122,82,,,,,,,,,
254026,254026,UT,04:18:50 13-Apr-2024,,,A,36.7486,-121.9139,CRC 5.12,04:18:50 13-Apr-2024,Status,37,167,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,18:18:38 13-Apr-2024,,,B,36.7271,-121.8839,CRC 15.6,,,15,14,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,19:22:19 13-Apr-2024,,,A,36.6989,-121.8868,CRC 10.14,19:22:19 13-Apr-2024,Status,74,150,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254026,254026,UT,03:00:38 14-Apr-2024,,,B,36.7801,-121.9129,CRC 6.8,03:00:38 14-Apr-2024,Status,70,166,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
