whale_id,track_id,choice_id,step_id,dTime,long,lat,PresAbs,sim_id,iteration,date,year,month,yday,hour,location_type,depth_m,slope_deg,rugosity_sd_2p5km_m,dist_200m_isobath_km,l3s_date_available,chla_date_available,kd490_date_available,sst_c,sst_gradient_c_km,sst_front_position,chla_mg_m3,kd490_m_inverse,n_available,n_choices_whale,choice_class_weight,whale_balance_weight,model_weight_raw,model_weight,fold_whale
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.8562885,36.77522855,1,254025_0_observed,0,2024-04-10,2024,4,101,23,observed,70.81983184814453,0.9314747891221264,21.355662920217153,0.6784372969944282,TRUE,TRUE,TRUE,13.220000267028809,NA,0,4.447328567504883,NA,77,76,1,0.013157894736842105,0.013157894736842105,69.96217105263158,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.841298421307,36.7738634881287,0,254025_0_crw_002,2,2024-04-10,2024,4,101,23,available_crw,51.90821075439453,1.3093289773521002,19.316830635028623,1.5514610121773804,TRUE,TRUE,TRUE,13.220000267028809,NA,0,4.447328567504883,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.917086427123,36.7718212104019,0,254025_0_crw_003,3,2024-04-10,2024,4,101,23,available_crw,393.0189514160156,14.223784002505514,144.17926566164587,0.6768723486631598,TRUE,TRUE,TRUE,13.010000228881836,NA,0,4.975919723510742,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-122.495353287091,36.7047600548725,0,254025_0_crw_004,4,2024-04-10,2024,4,101,23,available_crw,2326.933837890625,2.757334740870492,33.913775296231634,29.681945817369947,TRUE,TRUE,TRUE,12.699999809265137,0.05999999865889549,1,0.5411237478256226,0.10620000213384628,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.915368404563,36.9419984280688,0,254025_0_crw_005,5,2024-04-10,2024,4,101,23,available_crw,18.719867706298828,0.16648883861842192,2.359013528351972,12.562334067267448,TRUE,TRUE,TRUE,13.510000228881836,NA,0,22.905780792236328,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.898601940181,36.9228814663495,0,254025_0_crw_007,7,2024-04-10,2024,4,101,23,available_crw,20.099994659423828,0.2173882191475029,2.6234605622119975,11.878133243184974,TRUE,TRUE,TRUE,13.3100004196167,NA,0,13.164376258850098,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.919389235778,36.8349454902772,0,254025_0_crw_008,8,2024-04-10,2024,4,101,23,available_crw,76.95423889160156,0.3081861057495388,4.284796836665451,2.1851228472591577,TRUE,TRUE,TRUE,13.020000457763672,NA,0,7.551609992980957,0.272599995136261,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.974947533212,36.873751590394,0,254025_0_crw_010,10,2024-04-10,2024,4,101,23,available_crw,61.55208206176758,1.0931057184778028,13.038112142441742,3.374060029796198,TRUE,TRUE,TRUE,12.899999618530272,0.09300000220537186,1,5.681000709533691,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-122.060728027486,36.8906555746897,0,254025_0_crw_011,11,2024-04-10,2024,4,101,23,available_crw,61.41670227050781,0.4515868716238864,5.410948162448274,7.818777020296061,TRUE,TRUE,TRUE,12.06999969482422,NA,0,2.220923662185669,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-121.998949064722,36.7363252900138,0,254025_0_crw_015,15,2024-04-10,2024,4,101,23,available_crw,809.14508056640625,18.244468521898984,253.0955490241187,3.1172232994006133,TRUE,TRUE,TRUE,12.670000076293944,NA,0,2.139137029647827,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
254025,254025_0,254025_0_20240410T230000,3,2024-04-10T23:00:00Z,-122.012663987249,36.9298673919682,0,254025_0_crw_016,16,2024-04-10,2024,4,101,23,available_crw,28.938196182250977,0.36044349998871056,4.291144971087914,9.49972394153616,TRUE,TRUE,TRUE,13.229999542236328,NA,0,5.404787540435791,NA,77,76,0.012987012987012988,0.013157894736842105,1.7088174982911826e-4,0.9085996240601504,1
