DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
254024,254024,UT,DS,4,0,0,90,90,17:20:25 08-Apr-2024,NP,2,36.9483,-122.0651,36.9483,-122.0651,50,,401677713,-127
254024,254024,UT,DS,2,0,0,90,90,17:34:30 08-Apr-2024,MB,B,36.9541,-122.0595,36.9541,-122.0595,6,,401677712,-131
254024,254024,UT,DS,5,0,0,112,90,16:05:14 11-Sep-2024,NK,1,36.9499,-122.0771,36.9499,-122.0771,40,,401677719,-117
