DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
254024,254024,UT,Strong,08-Apr-2024,17:20:10,08-Apr-2024,17:18:56
254024,254024,UT,Strong,11-Sep-2024,16:05:15,11-Sep-2024,16:05:15
