dataset,n_rows,n_observed,n_available,n_choice_sets,n_whales,min_available_per_choice,median_available_per_choice,mean_available_per_choice,max_available_per_choice
static,158433,814,157619,814,4,165,195,193.63513513513513,200
sst,102075,590,101485,590,4,34,184,172.0084745762712,200
chlorophyll,149771,778,148993,778,4,165,193,191.5077120822622,200
kd490,156137,810,155327,810,4,165,193,191.76172839506174,200
combined,96299,557,95742,557,4,34,183,171.8886894075404,200
