DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
254027,254027,UT,06:17:03 12-Apr-2024,,,3,36.8109,-122.0617,CRC 15.10,06:17:03 12-Apr-2024,Status,79,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,06:21:46 12-Apr-2024,,,1,36.8054,-122.0749,CRC 4.8,06:21:46 12-Apr-2024,Status,84,89,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,06:24:40 12-Apr-2024,,,1,36.8054,-122.0749,CRC 11.7,06:24:40 12-Apr-2024,Status,11,143,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,15:16:27 12-Apr-2024,,,0,36.9726,-122.2203,CRC 0.1,15:16:27 12-Apr-2024,Status,96,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,16:26:47 12-Apr-2024,,,B,36.9968,-122.2366,CRC 11.1,16:26:47 12-Apr-2024,Status,27,141,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,23:26:57 12-Apr-2024,,,B,37.0219,-122.3659,,,,97,135,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,13:14:39 13-Apr-2024,,,3,37.3402,-122.4962,CRC 6.13,13:14:39 13-Apr-2024,Status,70,103,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,13:16:35 13-Apr-2024,,,3,37.3402,-122.4962,CRC 1.11,,,97,109,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,17:25:01 13-Apr-2024,,,B,37.3933,-122.5898,CRC 6.0,17:25:01 13-Apr-2024,Status,86,143,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,17:28:50 13-Apr-2024,,,B,37.3933,-122.5898,CRC 15.5,17:28:50 13-Apr-2024,Status,15,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,03:07:51 14-Apr-2024,,,3,37.7313,-122.7089,CRC 14.7,,,238,135,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254027,254027,UT,05:18:23 14-Apr-2024,,,2,37.6894,-122.7640,CRC 11.4,05:18:23 14-Apr-2024,Status,27,140,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
