DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
254027,254027,UT,06:27:59 10-May-2024,Argos,1,37.4297,-122.7121,601,1083,333,27,,,,,,
254027,254027,UT,08:04:55 10-May-2024,Argos,2,37.4652,-122.7364,324,821,128,4,,,,,,
254027,254027,UT,08:12:08 10-May-2024,Argos,3,37.4647,-122.7338,132,438,39,87,,,,,,
254027,254027,UT,12:11:18 10-May-2024,Argos,2,37.5105,-122.6843,274,691,108,174,,,,,,
254027,254027,UT,13:00:46 10-May-2024,Argos,B,37.5182,-122.6842,918,1297,649,94,,,,,,
254027,254027,UT,13:51:04 10-May-2024,Argos,B,37.4597,-122.6727,1287,3051,543,87,,,,,,
254027,254027,UT,14:22:45 10-May-2024,Argos,B,37.4566,-122.6617,1078,8225,141,159,,,,,,
254027,254027,UT,14:27:12 10-May-2024,Argos,B,37.4261,-122.6479,2109,3857,1152,161,,,,,,
254027,254027,UT,14:40:31 10-May-2024,Argos,2,37.4155,-122.6454,490,2397,100,112,,,,,,
254027,254027,UT,15:32:15 10-May-2024,Argos,B,37.3994,-122.6214,1227,1679,896,95,,,,,,
254027,254027,UT,16:00:08 10-May-2024,Argos,0,37.3480,-122.6157,2977,53387,166,107,,,,,,
254027,254027,UT,17:24:12 10-May-2024,Argos,B,37.2918,-122.6063,3524,22015,564,111,,,,,,
254027,254027,UT,17:32:17 10-May-2024,Argos,A,37.2805,-122.6028,2182,32439,146,109,,,,,,
254027,254027,UT,18:07:12 10-May-2024,Argos,B,37.2557,-122.5721,1108,23626,52,87,,,,,,
254027,254027,UT,18:42:51 10-May-2024,Argos,B,37.2388,-122.5535,1356,3583,513,87,,,,,,
254027,254027,UT,19:02:16 10-May-2024,Argos,B,37.2214,-122.5519,1496,27386,81,101,,,,,,
254027,254027,UT,20:13:19 10-May-2024,Argos,2,37.1909,-122.5553,313,722,135,98,,,,,,
254027,254027,UT,20:29:05 10-May-2024,Argos,B,37.1819,-122.5513,986,2929,331,124,,,,,,
254027,254027,UT,00:11:35 11-May-2024,Argos,B,37.0991,-122.4093,1099,16727,72,127,,,,,,
254027,254027,UT,01:58:05 11-May-2024,Argos,1,37.0118,-122.4116,669,1051,425,121,,,,,,
254027,254027,UT,03:13:48 11-May-2024,Argos,B,37.0014,-122.3387,7799,14869,4090,128,,,,,,
254027,254027,UT,03:22:12 11-May-2024,Argos,B,37.0025,-122.3393,2751,39611,191,107,,,,,,
254027,254027,UT,03:24:42 11-May-2024,Argos,B,37.0036,-122.3378,2099,7749,568,105,,,,,,
254027,254027,UT,04:58:09 11-May-2024,Argos,B,36.9623,-122.2885,1521,2279,1014,99,,,,,,
254027,254027,UT,05:26:01 11-May-2024,Argos,1,36.9863,-122.3326,1401,14787,132,84,,,,,,
254027,254027,UT,06:10:03 11-May-2024,Argos,2,36.9645,-122.3327,325,1576,66,71,,,,,,
254027,254027,UT,06:18:51 11-May-2024,Argos,B,36.9604,-122.3404,3082,4070,2333,85,,,,,,
254027,254027,UT,07:18:27 11-May-2024,Argos,3,36.9736,-122.2970,173,508,58,76,,,,,,
254027,254027,UT,12:18:52 11-May-2024,Argos,1,36.9949,-122.2296,936,2114,414,152,,,,,,
254027,254027,UT,13:18:06 11-May-2024,Argos,3,36.9911,-122.1928,185,396,86,61,,,,,,
254027,254027,UT,14:01:16 11-May-2024,Argos,0,36.9598,-122.1860,2069,19291,221,89,,,,,,
254027,254027,UT,14:01:46 11-May-2024,Argos,0,36.9555,-122.2070,2461,21318,284,94,,,,,,
254027,254027,UT,14:01:46 11-May-2024,Argos,B,36.9598,-122.1859,1673,11880,235,89,,,,,,
254027,254027,UT,15:01:41 11-May-2024,Argos,B,36.9401,-122.1842,4340,6526,2886,94,,,,,,
254027,254027,UT,17:00:09 11-May-2024,Argos,1,36.9745,-122.2058,703,1966,251,24,,,,,,
254027,254027,UT,17:13:26 11-May-2024,Argos,3,36.9674,-122.2042,204,402,103,94,,,,,,
254027,254027,UT,17:16:25 11-May-2024,Argos,1,36.9545,-122.1849,680,1196,387,65,,,,,,
254027,254027,UT,18:34:23 11-May-2024,Argos,A,36.9904,-122.1988,553,977,312,54,,,,,,
254027,254027,UT,18:35:07 11-May-2024,Argos,2,36.9788,-122.1931,380,657,219,76,,,,,,
254027,254027,UT,20:10:20 11-May-2024,Argos,2,36.9999,-122.2332,307,502,188,79,,,,,,
254027,254027,UT,21:03:33 11-May-2024,Argos,B,36.9968,-122.2317,1148,3266,403,115,,,,,,
254027,254027,UT,23:27:52 11-May-2024,Argos,B,36.9930,-122.2222,2268,3416,1505,100,,,,,,
254027,254027,UT,01:08:24 12-May-2024,Argos,A,37.0051,-122.2147,426,3952,45,101,,,,,,
254027,254027,UT,01:16:50 12-May-2024,Argos,1,37.0082,-122.2329,1294,1658,1009,47,,,,,,
254027,254027,UT,01:32:42 12-May-2024,Argos,3,36.9915,-122.2360,133,212,83,85,,,,,,
254027,254027,UT,03:00:02 12-May-2024,Argos,A,36.9655,-122.1883,1566,46624,52,77,,,,,,
254027,254027,UT,03:02:23 12-May-2024,Argos,B,37.0077,-122.1985,1112,2618,472,125,,,,,,
254027,254027,UT,03:10:29 12-May-2024,Argos,3,36.9636,-122.1901,193,387,96,84,,,,,,
254027,254027,UT,04:17:14 12-May-2024,Argos,1,36.9723,-122.1596,932,6689,129,71,,,,,,
254027,254027,UT,04:17:35 12-May-2024,Argos,B,36.9612,-122.1757,2395,3117,1839,87,,,,,,
254027,254027,UT,05:04:20 12-May-2024,Argos,B,36.9654,-122.1780,4707,51771,427,78,,,,,,
254027,254027,UT,06:00:05 12-May-2024,Argos,2,36.9343,-122.1779,287,1214,67,85,,,,,,
254027,254027,UT,06:00:35 12-May-2024,Argos,3,36.9322,-122.1811,216,380,122,67,,,,,,
254027,254027,UT,08:16:55 12-May-2024,Argos,B,36.9009,-122.1690,3866,5213,2866,99,,,,,,
254027,254027,UT,13:12:23 12-May-2024,Argos,1,36.9128,-122.0707,654,1437,297,104,,,,,,
254027,254027,UT,14:24:50 12-May-2024,Argos,3,36.9060,-122.0591,247,1205,50,97,,,,,,
254027,254027,UT,14:59:53 12-May-2024,Argos,B,36.9017,-122.0528,958,1263,726,89,,,,,,
254027,254027,UT,15:14:49 12-May-2024,Argos,2,36.9016,-122.0641,281,477,164,121,,,,,,
254027,254027,UT,16:59:48 12-May-2024,Argos,2,36.9050,-122.0487,475,964,233,87,,,,,,
254027,254027,UT,17:26:34 12-May-2024,Argos,B,36.8971,-122.0496,3231,42765,244,109,,,,,,
254027,254027,UT,18:14:00 12-May-2024,Argos,2,36.9073,-122.0535,362,1400,93,100,,,,,,
254027,254027,UT,18:18:12 12-May-2024,Argos,3,36.9046,-122.0445,85,127,56,94,,,,,,
254027,254027,UT,19:04:44 12-May-2024,Argos,B,36.9072,-122.0395,662,4565,96,161,,,,,,
254027,254027,UT,19:59:46 12-May-2024,Argos,B,36.9084,-122.0320,1194,1419,1003,137,,,,,,
254027,254027,UT,20:02:28 12-May-2024,Argos,A,36.9008,-122.0383,171,478,60,131,,,,,,
254027,254027,UT,20:21:04 12-May-2024,Argos,1,36.9088,-122.0625,574,1508,218,102,,,,,,
254027,254027,UT,00:26:36 13-May-2024,Argos,1,36.9188,-121.9643,615,3267,115,66,,,,,,
254027,254027,UT,01:00:41 13-May-2024,Argos,1,36.9237,-121.9833,808,1397,466,11,,,,,,
254027,254027,UT,02:10:38 13-May-2024,Argos,1,36.9038,-121.9846,1058,7444,150,91,,,,,,
254027,254027,UT,02:26:20 13-May-2024,Argos,B,36.9029,-121.9848,932,2405,361,91,,,,,,
254027,254027,UT,03:58:40 13-May-2024,Argos,B,36.8987,-121.9877,1507,2617,867,84,,,,,,
254027,254027,UT,04:15:20 13-May-2024,Argos,B,36.8994,-121.9777,1539,2392,989,78,,,,,,
254027,254027,UT,06:08:29 13-May-2024,Argos,3,36.8850,-121.9841,234,260,210,47,,,,,,
254027,254027,UT,07:25:17 13-May-2024,Argos,0,36.8782,-121.9911,2217,17270,284,98,,,,,,
254027,254027,UT,07:25:31 13-May-2024,Argos,A,36.8782,-121.9973,1423,12701,159,94,,,,,,
