DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
254027,254027,UT,Strong,08-Apr-2024,17:20:48,08-Apr-2024,17:19:50
254027,254027,UT,Strong,21-May-2024,04:13:13,21-May-2024,04:10:48
