DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment,lon,lat
254030,254030,UT,04:17:29 11-Apr-2024,Argos,A,36.8936,-122.2544,193,350,105,76,NA,NA,NA,NA,NA,NA,-122.2544,36.8936
254030,254030,UT,04:34:53 11-Apr-2024,Argos,B,36.892,-122.2495,820,1956,343,26,NA,NA,NA,NA,NA,NA,-122.2495,36.892
254030,254030,UT,05:41:06 11-Apr-2024,Argos,B,36.8964,-122.3034,1805,2303,1414,81,NA,NA,NA,NA,NA,NA,-122.3034,36.8964
254030,254030,UT,07:28:54 11-Apr-2024,Argos,B,36.9019,-122.3859,1818,2259,1462,84,NA,NA,NA,NA,NA,NA,-122.3859,36.9019
254030,254030,UT,08:43:40 11-Apr-2024,Argos,B,36.9056,-122.4143,2589,5812,1153,75,NA,NA,NA,NA,NA,NA,-122.4143,36.9056
254030,254030,UT,13:17:03 11-Apr-2024,Argos,B,36.9859,-122.5964,2587,119115,56,67,NA,NA,NA,NA,NA,NA,-122.5964,36.9859
254030,254030,UT,14:07:12 11-Apr-2024,Argos,B,37.0674,-122.4152,3479,32403,373,25,NA,NA,NA,NA,NA,NA,-122.4152,37.0674
254030,254030,UT,14:30:32 11-Apr-2024,Argos,B,37.0669,-122.4155,2886,5302,1570,28,NA,NA,NA,NA,NA,NA,-122.4155,37.0669
254030,254030,UT,15:10:55 11-Apr-2024,Argos,B,37.0818,-122.4002,3312,4477,2449,67,NA,NA,NA,NA,NA,NA,-122.4002,37.0818
254030,254030,UT,16:41:41 11-Apr-2024,Argos,B,37.086,-122.4019,1821,2411,1374,75,NA,NA,NA,NA,NA,NA,-122.4019,37.086
254030,254030,UT,16:50:22 11-Apr-2024,Argos,B,37.0798,-122.4121,1351,28220,64,86,NA,NA,NA,NA,NA,NA,-122.4121,37.0798
254030,254030,UT,17:24:08 11-Apr-2024,Argos,B,37.0959,-122.3944,1569,4954,496,86,NA,NA,NA,NA,NA,NA,-122.3944,37.0959
254030,254030,UT,18:25:18 11-Apr-2024,Argos,B,37.1121,-122.368,2121,5155,872,74,NA,NA,NA,NA,NA,NA,-122.368,37.1121
254030,254030,UT,18:57:38 11-Apr-2024,Argos,1,37.0926,-122.4365,749,1122,500,5,NA,NA,NA,NA,NA,NA,-122.4365,37.0926
254030,254030,UT,20:51:43 11-Apr-2024,Argos,B,37.1184,-122.4789,3139,26267,375,177,NA,NA,NA,NA,NA,NA,-122.4789,37.1184
254030,254030,UT,01:46:24 12-Apr-2024,Argos,B,37.1813,-122.5258,5811,11646,2899,96,NA,NA,NA,NA,NA,NA,-122.5258,37.1813
254030,254030,UT,02:16:30 12-Apr-2024,Argos,B,37.229,-122.5781,2347,28267,194,89,NA,NA,NA,NA,NA,NA,-122.5781,37.229
254030,254030,UT,02:17:22 12-Apr-2024,Argos,B,37.2279,-122.5852,3203,36787,278,89,NA,NA,NA,NA,NA,NA,-122.5852,37.2279
254030,254030,UT,04:06:55 12-Apr-2024,Argos,B,37.2723,-122.5991,1032,12839,83,121,NA,NA,NA,NA,NA,NA,-122.5991,37.2723
254030,254030,UT,04:06:55 12-Apr-2024,Argos,B,37.2676,-122.6294,3797,12580,1145,85,NA,NA,NA,NA,NA,NA,-122.6294,37.2676
254030,254030,UT,05:30:54 12-Apr-2024,Argos,B,37.3164,-122.5768,1165,13666,99,150,NA,NA,NA,NA,NA,NA,-122.5768,37.3164
254030,254030,UT,06:21:43 12-Apr-2024,Argos,B,37.2806,-122.5584,998,2983,333,49,NA,NA,NA,NA,NA,NA,-122.5584,37.2806
254030,254030,UT,07:12:10 12-Apr-2024,Argos,B,37.2867,-122.5369,1256,15034,104,32,NA,NA,NA,NA,NA,NA,-122.5369,37.2867
254030,254030,UT,07:59:33 12-Apr-2024,Argos,B,37.2631,-122.5453,1179,2139,649,54,NA,NA,NA,NA,NA,NA,-122.5453,37.2631
254030,254030,UT,13:37:49 12-Apr-2024,Argos,A,37.2735,-122.561,5633,131480,241,75,NA,NA,NA,NA,NA,NA,-122.561,37.2735
254030,254030,UT,14:25:34 12-Apr-2024,Argos,A,37.2781,-122.5373,153,262,89,49,NA,NA,NA,NA,NA,NA,-122.5373,37.2781
254030,254030,UT,15:14:30 12-Apr-2024,Argos,B,37.2805,-122.5322,941,1238,714,89,NA,NA,NA,NA,NA,NA,-122.5322,37.2805
254030,254030,UT,16:32:44 12-Apr-2024,Argos,B,37.2897,-122.5225,1417,2146,935,97,NA,NA,NA,NA,NA,NA,-122.5225,37.2897
254030,254030,UT,16:57:51 12-Apr-2024,Argos,B,37.2894,-122.529,1096,11292,106,127,NA,NA,NA,NA,NA,NA,-122.529,37.2894
254030,254030,UT,17:48:35 12-Apr-2024,Argos,B,37.3192,-122.5359,988,29208,33,103,NA,NA,NA,NA,NA,NA,-122.5359,37.3192
254030,254030,UT,17:57:42 12-Apr-2024,Argos,B,37.3162,-122.5308,995,4964,199,97,NA,NA,NA,NA,NA,NA,-122.5308,37.3162
254030,254030,UT,18:06:45 12-Apr-2024,Argos,B,37.3214,-122.5296,929,27203,31,94,NA,NA,NA,NA,NA,NA,-122.5296,37.3214
254030,254030,UT,18:34:49 12-Apr-2024,Argos,B,37.3276,-122.5289,695,2933,164,129,NA,NA,NA,NA,NA,NA,-122.5289,37.3276
254030,254030,UT,19:34:11 12-Apr-2024,Argos,B,37.3424,-122.5228,1199,2276,631,113,NA,NA,NA,NA,NA,NA,-122.5228,37.3424
254030,254030,UT,20:05:17 12-Apr-2024,Argos,1,37.3727,-122.553,719,1367,377,104,NA,NA,NA,NA,NA,NA,-122.553,37.3727
254030,254030,UT,21:42:55 12-Apr-2024,Argos,B,37.4154,-122.5837,13027,17504,9694,104,NA,NA,NA,NA,NA,NA,-122.5837,37.4154
254030,254030,UT,23:25:46 12-Apr-2024,Argos,B,37.4372,-122.6094,15413,25704,9241,92,NA,NA,NA,NA,NA,NA,-122.6094,37.4372
254030,254030,UT,01:06:33 13-Apr-2024,Argos,A,37.4082,-122.4958,4031,175823,92,77,NA,NA,NA,NA,NA,NA,-122.4958,37.4082
254030,254030,UT,02:03:45 13-Apr-2024,Argos,B,37.4194,-122.4855,5752,13365,2475,79,NA,NA,NA,NA,NA,NA,-122.4855,37.4194
