DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
254030,254030,UT,DS,7,0,0,89,88,17:19:13 08-Apr-2024,NP,1,36.9485,-122.0504,36.9485,-122.0504,40,,401677672,-127
254030,254030,UT,DS,1,0,0,,,17:34:12 08-Apr-2024,MB,B,36.9488,-122.0498,36.9488,-122.0498,6,,401677658,-135
254030,254030,UT,DS,1,0,0,,,17:10:27 09-Apr-2024,NP,B,36.9122,-122.0938,36.9122,-122.0938,,,401677666,-128
254030,254030,UT,DS,3,0,0,125,38,18:03:44 09-Apr-2024,MC,A,36.8166,-122.0251,36.8166,-122.0251,6,,401677701,-129
254030,254030,UT,DS,3,0,0,258,98,18:28:42 09-Apr-2024,NN,A,36.7884,-121.9155,36.7884,-121.9155,6,,401677701,-132
254030,254030,UT,DS,2,0,0,62,62,18:48:35 09-Apr-2024,NP,B,36.7861,-121.9419,36.7861,-121.9419,6,,401677703,-130
254030,254030,UT,DS,1,0,0,,,19:42:37 09-Apr-2024,MC,B,36.7530,-121.9164,36.7530,-121.9164,8,,401677691,-127
254030,254030,UT,DS,1,0,0,,,20:08:03 09-Apr-2024,NN,B,36.7596,-121.9221,36.7596,-121.9221,6,,401677703,-131
254030,254030,UT,DS,2,0,0,81,81,20:45:14 09-Apr-2024,O3,B,36.7628,-121.9167,36.7628,-121.9167,8,,401677687,-125
254030,254030,UT,DS,3,0,0,91,30,23:48:38 09-Apr-2024,CS,A,36.7666,-121.9224,36.7666,-121.9224,8,,401677706,-131
254030,254030,UT,DS,3,0,1,202,73,01:27:08 10-Apr-2024,CS,A,36.7643,-121.8962,36.7643,-121.8962,8,,401677693,-133
254030,254030,UT,DS,3,0,0,142,40,01:27:54 10-Apr-2024,A1,A,36.7751,-121.8735,36.7751,-121.8735,6,,401677693,-142
254030,254030,UT,DS,1,0,0,,,01:44:56 10-Apr-2024,SR,B,36.7753,-121.8735,36.7753,-121.8735,6,,401677690,-132
254030,254030,UT,DS,1,0,0,,,03:02:22 10-Apr-2024,A1,B,36.7659,-121.8564,36.7659,-121.8564,8,,401677693,-138
254030,254030,UT,DS,1,0,0,,,03:20:45 10-Apr-2024,SR,B,36.7700,-121.8632,36.7700,-121.8632,6,,401677693,-139
254030,254030,UT,DS,1,0,0,,,03:20:45 10-Apr-2024,NK,B,36.7818,-121.8653,36.7818,-121.8653,,,401677702,-127
254030,254030,UT,DS,2,0,0,326,326,04:35:44 10-Apr-2024,NP,B,36.7801,-121.8493,36.7801,-121.8493,8,,401677697,-130
254030,254030,UT,DS,1,0,0,,,05:00:34 10-Apr-2024,NK,B,36.7800,-121.8531,36.7800,-121.8531,6,,401677696,-133
254030,254030,UT,DS,2,0,0,442,442,05:19:44 10-Apr-2024,MC,B,36.7848,-121.8455,36.7848,-121.8455,8,,401677691,-128
254030,254030,UT,DS,1,0,0,,,05:54:24 10-Apr-2024,NN,B,36.7872,-121.8490,36.7872,-121.8490,8,,401677698,-130
254030,254030,UT,DS,2,0,0,111,111,06:13:10 10-Apr-2024,O3,B,36.7994,-121.9398,36.7994,-121.9398,6,,401677685,-132
254030,254030,UT,DS,1,0,0,,,07:34:58 10-Apr-2024,NN,B,36.7999,-121.9255,36.7999,-121.9255,8,,401677687,-135
254030,254030,UT,DS,2,0,0,188,188,07:54:45 10-Apr-2024,O3,B,36.8004,-121.9334,36.8004,-121.9334,6,,401677683,-130
254030,254030,UT,DS,2,0,0,36,36,12:54:27 10-Apr-2024,SR,B,36.7904,-121.8805,36.7904,-121.8805,8,,401677681,-132
254030,254030,UT,DS,1,0,0,,,13:34:36 10-Apr-2024,CS,B,36.7914,-121.8983,36.7914,-121.8983,8,,401677679,-134
254030,254030,UT,DS,2,0,0,64,64,13:35:08 10-Apr-2024,A1,B,36.7862,-121.9291,36.7862,-121.9291,6,,401677681,-131
254030,254030,UT,DS,1,0,0,,,14:37:28 10-Apr-2024,SR,B,36.7880,-121.9240,36.7880,-121.9240,8,,401677684,-138
254030,254030,UT,DS,1,0,0,,,15:18:27 10-Apr-2024,CS,B,36.7902,-121.9327,36.7902,-121.9327,8,,401677679,-137
254030,254030,UT,DS,3,0,0,259,161,15:34:25 10-Apr-2024,NK,A,36.7946,-121.9897,36.7946,-121.9897,8,,401677679,-129
254030,254030,UT,DS,1,0,0,,,16:56:21 10-Apr-2024,NP,B,36.8046,-122.0041,36.8046,-122.0041,8,,401677667,-136
254030,254030,UT,DS,2,0,0,169,169,17:22:10 10-Apr-2024,NK,B,36.8216,-121.9887,36.8216,-121.9887,6,,401677688,-135
254030,254030,UT,DS,2,0,0,492,492,17:38:23 10-Apr-2024,MC,,,,,,,,401650000,
254030,254030,UT,DS,4,0,0,153,126,18:16:56 10-Apr-2024,NN,2,36.8089,-121.9868,36.8089,-121.9868,58,,401677680,-133
254030,254030,UT,DS,2,0,0,70,70,18:38:02 10-Apr-2024,NP,B,36.8061,-121.9910,36.8061,-121.9910,6,,401677679,-137
254030,254030,UT,DS,1,0,0,,,19:21:36 10-Apr-2024,MC,,,,,,,,401650000,
254030,254030,UT,DS,1,0,0,,,21:41:47 10-Apr-2024,O3,B,36.8023,-122.0141,36.8023,-122.0141,8,,401677670,-136
254030,254030,UT,DS,1,0,0,,,00:49:48 11-Apr-2024,CS,B,36.8288,-122.0552,36.8288,-122.0552,8,,401677703,-133
254030,254030,UT,DS,1,0,1,,,02:24:07 11-Apr-2024,CS,B,36.8486,-122.0620,36.8486,-122.0620,8,,401677718,-138
254030,254030,UT,DS,2,0,0,195,195,02:48:31 11-Apr-2024,SR,B,36.8914,-122.0558,36.8914,-122.0558,6,,401677703,-131
254030,254030,UT,DS,1,0,0,,,03:21:42 11-Apr-2024,MC,,,,,,,,401650000,
254030,254030,UT,DS,3,0,0,161,158,04:17:29 11-Apr-2024,NP,A,36.8936,-122.2544,36.8936,-122.2544,8,,401677679,-135
254030,254030,UT,DS,2,0,0,181,181,04:34:53 11-Apr-2024,NK,B,36.8920,-122.2495,36.8920,-122.2495,6,,401677679,-132
254030,254030,UT,DS,1,0,0,,,05:00:30 11-Apr-2024,MC,,,,,,,,401650000,
254030,254030,UT,DS,1,0,1,,,05:41:06 11-Apr-2024,NN,B,36.8964,-122.3034,36.8964,-122.3034,8,,401677684,-133
254030,254030,UT,DS,1,0,0,,,07:28:54 11-Apr-2024,NN,B,36.9019,-122.3859,36.9019,-122.3859,8,,401677696,-137
254030,254030,UT,DS,1,0,0,,,08:43:40 11-Apr-2024,O3,B,36.9056,-122.4143,36.9056,-122.4143,8,,401677694,-128
254030,254030,UT,DS,2,0,0,117,117,13:17:03 11-Apr-2024,A1,B,36.9859,-122.5964,36.9859,-122.5964,8,,401677638,-137
254030,254030,UT,DS,2,0,1,455,455,14:07:12 11-Apr-2024,SR,B,37.0674,-122.4152,37.0674,-122.4152,6,,401677674,-133
254030,254030,UT,DS,2,0,0,588,588,14:30:32 11-Apr-2024,CS,B,37.0669,-122.4155,37.0669,-122.4155,6,,401677675,-136
254030,254030,UT,DS,1,0,1,,,15:10:55 11-Apr-2024,NK,B,37.0818,-122.4002,37.0818,-122.4002,7,,401677685,-128
254030,254030,UT,DS,1,0,0,,,16:41:41 11-Apr-2024,NP,B,37.0860,-122.4019,37.0860,-122.4019,8,,401677673,-132
254030,254030,UT,DS,2,0,0,164,164,16:50:22 11-Apr-2024,NK,B,37.0798,-122.4121,37.0798,-122.4121,6,,401677678,-133
254030,254030,UT,DS,1,0,0,,,17:24:08 11-Apr-2024,MC,B,37.0959,-122.3944,37.0959,-122.3944,8,,401677680,-131
254030,254030,UT,DS,1,0,0,,,18:25:18 11-Apr-2024,NP,B,37.1121,-122.3680,37.1121,-122.3680,8,,401677684,-135
254030,254030,UT,DS,4,0,0,158,59,18:57:38 11-Apr-2024,MC,1,37.0926,-122.4365,37.0926,-122.4365,58,,401677668,-129
254030,254030,UT,DS,2,0,0,211,211,20:51:43 11-Apr-2024,O3,B,37.1184,-122.4789,37.1184,-122.4789,8,,401677674,-131
254030,254030,UT,DS,1,0,0,,,01:46:24 12-Apr-2024,CS,B,37.1813,-122.5258,37.1813,-122.5258,8,,401677670,-135
254030,254030,UT,DS,2,0,0,103,103,02:16:30 12-Apr-2024,SR,B,37.2290,-122.5781,37.2290,-122.5781,8,,401677670,-134
254030,254030,UT,DS,1,0,0,,,02:17:22 12-Apr-2024,A1,B,37.2279,-122.5852,37.2279,-122.5852,6,,401677694,-137
254030,254030,UT,DS,2,0,0,199,199,04:06:55 12-Apr-2024,NK,B,37.2723,-122.5991,37.2723,-122.5991,,,401677644,-131
254030,254030,UT,DS,1,0,0,,,04:06:55 12-Apr-2024,NP,B,37.2676,-122.6294,37.2676,-122.6294,8,,401677643,-136
254030,254030,UT,DS,2,0,0,227,227,05:30:54 12-Apr-2024,NN,B,37.3164,-122.5768,37.3164,-122.5768,8,,401677636,-132
254030,254030,UT,DS,2,0,0,64,64,06:21:43 12-Apr-2024,MC,B,37.2806,-122.5584,37.2806,-122.5584,7,,401677661,-128
254030,254030,UT,DS,2,0,0,230,230,07:12:10 12-Apr-2024,NN,B,37.2867,-122.5369,37.2867,-122.5369,8,,401677652,-133
254030,254030,UT,DS,1,0,1,,,07:59:33 12-Apr-2024,O3,B,37.2631,-122.5453,37.2631,-122.5453,8,,401677642,-133
254030,254030,UT,DS,3,0,0,97,90,13:37:49 12-Apr-2024,SR,A,37.2735,-122.5610,37.2735,-122.5610,8,,401677666,-131
254030,254030,UT,DS,3,0,0,94,67,14:25:34 12-Apr-2024,A1,A,37.2781,-122.5373,37.2781,-122.5373,8,,401677668,-134
254030,254030,UT,DS,1,0,0,,,15:14:30 12-Apr-2024,SR,B,37.2805,-122.5322,37.2805,-122.5322,8,,401677666,-136
254030,254030,UT,DS,1,0,0,,,16:32:44 12-Apr-2024,NP,B,37.2897,-122.5225,37.2897,-122.5225,8,,401677658,-136
254030,254030,UT,DS,2,0,0,169,169,16:57:51 12-Apr-2024,MC,B,37.2894,-122.5290,37.2894,-122.5290,6,,401677651,-126
254030,254030,UT,DS,2,0,1,229,229,17:48:35 12-Apr-2024,MB,B,37.3192,-122.5359,37.3192,-122.5359,7,,401677666,-133
254030,254030,UT,DS,2,0,0,90,90,17:57:42 12-Apr-2024,NN,B,37.3162,-122.5308,37.3162,-122.5308,6,,401677671,-133
254030,254030,UT,DS,2,0,0,324,324,18:06:45 12-Apr-2024,NP,B,37.3214,-122.5296,37.3214,-122.5296,6,,401677668,-131
254030,254030,UT,DS,2,0,0,176,176,18:34:49 12-Apr-2024,MC,B,37.3276,-122.5289,37.3276,-122.5289,6,,401677665,-124
254030,254030,UT,DS,1,0,0,,,19:34:11 12-Apr-2024,NN,B,37.3424,-122.5228,37.3424,-122.5228,8,,401677659,-132
254030,254030,UT,DS,6,0,1,69,40,20:05:17 12-Apr-2024,O3,1,37.3727,-122.5530,37.3727,-122.5530,48,,401677662,-134
254030,254030,UT,DS,1,0,0,,,21:42:55 12-Apr-2024,O3,B,37.4154,-122.5837,37.4154,-122.5837,8,,401677674,-135
254030,254030,UT,DS,1,0,0,,,23:25:46 12-Apr-2024,CS,B,37.4372,-122.6094,37.4372,-122.6094,8,,401677644,-141
254030,254030,UT,DS,3,0,0,90,44,01:06:33 13-Apr-2024,CS,A,37.4082,-122.4958,37.4082,-122.4958,8,,401677666,-128
254030,254030,UT,DS,1,0,0,,,02:03:45 13-Apr-2024,NK,B,37.4194,-122.4855,37.4194,-122.4855,8,,401677659,-137
254030,254030,UT,DS,1,0,0,,,02:44:10 13-Apr-2024,CS,B,37.4280,-122.4832,37.4280,-122.4832,8,,401677658,-138
254030,254030,UT,DS,3,0,1,95,89,03:39:38 13-Apr-2024,NK,A,37.4228,-122.5100,37.4228,-122.5100,7,,401677676,-132
254030,254030,UT,DS,2,0,0,90,90,04:20:41 13-Apr-2024,MC,B,37.4066,-122.5313,37.4066,-122.5313,8,,401677672,-125
254030,254030,UT,DS,2,0,0,92,92,05:07:06 13-Apr-2024,MB,B,37.3991,-122.5365,37.3991,-122.5365,8,,401677674,-129
254030,254030,UT,DS,1,0,0,,,05:16:53 13-Apr-2024,NN,B,37.3995,-122.5345,37.3995,-122.5345,6,,401677671,-133
254030,254030,UT,DS,1,0,0,,,13:04:11 13-Apr-2024,SR,B,37.4030,-122.6365,37.4030,-122.6365,8,,401677678,-127
254030,254030,UT,DS,2,0,0,325,325,13:16:23 13-Apr-2024,CS,B,37.4500,-122.5355,37.4500,-122.5355,6,,401677674,-130
254030,254030,UT,DS,2,0,0,190,190,14:01:00 13-Apr-2024,A1,B,37.4396,-122.5466,37.4396,-122.5466,8,,401677674,-134
254030,254030,UT,DS,2,0,1,35,35,16:04:50 13-Apr-2024,NK,B,37.4284,-122.5707,37.4284,-122.5707,8,,401677667,-133
254030,254030,UT,DS,1,0,0,,,18:01:19 13-Apr-2024,NP,B,37.3992,-122.5873,37.3992,-122.5873,8,,401677689,-132
254030,254030,UT,DS,5,0,0,82,32,19:22:59 13-Apr-2024,NN,0,37.3338,-122.6448,37.3338,-122.6448,58,,401677670,-129
254030,254030,UT,DS,1,0,0,,,19:22:26 13-Apr-2024,O3,B,37.3417,-122.6644,37.3417,-122.6644,8,,401677676,-134
254030,254030,UT,DS,3,0,1,240,181,20:55:24 13-Apr-2024,O3,A,37.3439,-122.6490,37.3439,-122.6490,8,,401677677,-128
254030,254030,UT,DS,1,0,1,,,21:04:11 13-Apr-2024,NN,B,37.3419,-122.6514,37.3419,-122.6514,6,,401677665,-137
254030,254030,UT,DS,1,0,0,,,00:22:00 14-Apr-2024,CS,B,37.3141,-122.6994,37.3141,-122.6994,8,,401677693,-139
254030,254030,UT,DS,1,0,0,,,02:03:04 14-Apr-2024,CS,B,37.3082,-122.7097,37.3082,-122.7097,8,,401677692,-140
254030,254030,UT,DS,2,0,0,220,220,05:06:16 14-Apr-2024,NN,B,37.3317,-122.6423,37.3317,-122.6423,8,,401677678,-133
254030,254030,UT,DS,1,0,0,,,05:21:19 14-Apr-2024,NP,B,37.3330,-122.6431,37.3330,-122.6431,6,,401677676,-136
254030,254030,UT,DS,2,0,0,220,220,05:38:36 14-Apr-2024,MC,B,37.3469,-122.6255,37.3469,-122.6255,6,,401677676,-132
254030,254030,UT,DS,2,0,0,141,141,06:47:45 14-Apr-2024,NN,B,37.3340,-122.6267,37.3340,-122.6267,8,,401677687,-132
254030,254030,UT,DS,1,0,0,,,13:40:46 14-Apr-2024,A1,B,37.2729,-122.6392,37.2729,-122.6392,8,,401677677,-133
254030,254030,UT,DS,1,0,0,,,14:12:44 14-Apr-2024,CS,B,37.2936,-122.6210,37.2936,-122.6210,8,,401677674,-136
254030,254030,UT,DS,2,0,0,117,117,15:35:39 14-Apr-2024,NK,B,37.2813,-122.6123,37.2813,-122.6123,8,,401677672,-130
254030,254030,UT,DS,1,0,0,,,16:04:00 14-Apr-2024,NP,B,37.2874,-122.5913,37.2874,-122.5913,6,,401677694,-135
254030,254030,UT,DS,3,0,1,103,37,17:11:56 14-Apr-2024,NK,A,37.2668,-122.6082,37.2668,-122.6082,8,,401677692,-137
254030,254030,UT,DS,3,0,0,248,230,17:42:09 14-Apr-2024,NP,A,37.2949,-122.6218,37.2949,-122.6218,7,,401677691,-134
254030,254030,UT,DS,1,0,0,,,18:04:35 14-Apr-2024,MC,B,37.3049,-122.6726,37.3049,-122.6726,6,,401677693,-133
254030,254030,UT,DS,2,1,0,,,19:05:20 14-Apr-2024,NN,B,37.2840,-122.5853,37.2840,-122.5853,8,,401677690,-137
254030,254030,UT,DS,1,0,0,,,20:17:28 14-Apr-2024,O3,B,37.2812,-122.5955,37.2812,-122.5955,8,,401677702,-131
254030,254030,UT,DS,4,0,0,142,34,01:20:23 15-Apr-2024,CS,1,37.3050,-122.6718,37.3050,-122.6718,58,,401677693,-130
254030,254030,UT,DS,1,0,1,,,02:25:19 15-Apr-2024,SR,B,37.3109,-122.6797,37.3109,-122.6797,8,,401677686,-131
254030,254030,UT,DS,3,0,0,104,91,02:42:45 15-Apr-2024,A1,A,37.3169,-122.6598,37.3169,-122.6598,6,,401677699,-129
254030,254030,UT,DS,3,0,0,113,103,02:50:12 15-Apr-2024,NK,A,37.3133,-122.6646,37.3133,-122.6646,6,,401677699,-128
254030,254030,UT,DS,3,0,1,235,118,03:29:23 15-Apr-2024,NP,A,37.3120,-122.6399,37.3120,-122.6399,8,,401677696,-134
254030,254030,UT,DS,2,0,0,111,111,03:37:10 15-Apr-2024,MC,B,37.3126,-122.6432,37.3126,-122.6432,6,,401677691,-129
254030,254030,UT,DS,2,0,1,81,81,04:02:47 15-Apr-2024,SR,B,37.3109,-122.6430,37.3109,-122.6430,6,,401677698,-140
254030,254030,UT,DS,1,0,0,,,04:31:22 15-Apr-2024,MB,B,37.3097,-122.6420,37.3097,-122.6420,6,,401677692,-134
