DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
254030,254030,UT,17:19:13 08-Apr-2024,Argos,1,36.9485,-122.0504,634,1322,303,99,,,,,,
254030,254030,UT,17:34:12 08-Apr-2024,Argos,B,36.9488,-122.0498,4311,5422,3428,91,,,,,,
254030,254030,UT,17:10:27 09-Apr-2024,Argos,B,36.9122,-122.0938,36020,74877,17327,123,,,,,,
254030,254030,UT,18:03:44 09-Apr-2024,Argos,A,36.8166,-122.0251,10756,401410,288,103,,,,,,
254030,254030,UT,18:11:00 09-Apr-2024,User,,36.8087,-121.9039,,,,,,,,,,
254030,254030,UT,18:28:42 09-Apr-2024,Argos,A,36.7884,-121.9155,425,1391,130,67,,,,,,
254030,254030,UT,18:48:35 09-Apr-2024,Argos,B,36.7861,-121.9419,496,776,316,154,,,,,,
254030,254030,UT,19:42:37 09-Apr-2024,Argos,B,36.7530,-121.9164,1260,1672,948,127,,,,,,
254030,254030,UT,20:08:03 09-Apr-2024,Argos,B,36.7596,-121.9221,1551,2116,1136,131,,,,,,
254030,254030,UT,20:45:14 09-Apr-2024,Argos,B,36.7628,-121.9167,1462,2258,946,95,,,,,,
254030,254030,UT,23:48:38 09-Apr-2024,Argos,A,36.7666,-121.9224,575,3059,108,27,,,,,,
254030,254030,UT,01:27:08 10-Apr-2024,Argos,A,36.7643,-121.8962,609,11767,31,66,,,,,,
254030,254030,UT,01:27:54 10-Apr-2024,Argos,A,36.7751,-121.8735,303,415,220,6,,,,,,
254030,254030,UT,01:44:56 10-Apr-2024,Argos,B,36.7753,-121.8735,2563,3199,2053,93,,,,,,
254030,254030,UT,03:02:22 10-Apr-2024,Argos,B,36.7659,-121.8564,4022,5057,3198,110,,,,,,
254030,254030,UT,03:20:45 10-Apr-2024,Argos,B,36.7700,-121.8632,4080,6093,2732,114,,,,,,
254030,254030,UT,03:20:45 10-Apr-2024,Argos,B,36.7818,-121.8653,1241,3245,474,96,,,,,,
254030,254030,UT,04:35:44 10-Apr-2024,Argos,B,36.7801,-121.8493,1370,37818,49,98,,,,,,
254030,254030,UT,05:00:34 10-Apr-2024,Argos,B,36.7800,-121.8531,1694,7044,407,99,,,,,,
254030,254030,UT,05:19:44 10-Apr-2024,Argos,B,36.7848,-121.8455,1660,36641,75,101,,,,,,
254030,254030,UT,05:54:24 10-Apr-2024,Argos,B,36.7872,-121.8490,1777,7117,443,98,,,,,,
254030,254030,UT,06:13:10 10-Apr-2024,Argos,B,36.7994,-121.9398,706,1823,273,6,,,,,,
254030,254030,UT,07:34:58 10-Apr-2024,Argos,B,36.7999,-121.9255,1375,1526,1239,65,,,,,,
254030,254030,UT,07:54:45 10-Apr-2024,Argos,B,36.8004,-121.9334,1137,28801,44,86,,,,,,
254030,254030,UT,12:54:27 10-Apr-2024,Argos,B,36.7904,-121.8805,2028,11228,366,92,,,,,,
254030,254030,UT,13:34:36 10-Apr-2024,Argos,B,36.7914,-121.8983,2971,14896,592,92,,,,,,
254030,254030,UT,13:35:08 10-Apr-2024,Argos,B,36.7862,-121.9291,2399,34204,168,100,,,,,,
254030,254030,UT,14:37:28 10-Apr-2024,Argos,B,36.7880,-121.9240,2248,8449,597,95,,,,,,
254030,254030,UT,15:18:27 10-Apr-2024,Argos,B,36.7902,-121.9327,2227,7363,673,90,,,,,,
254030,254030,UT,15:34:25 10-Apr-2024,Argos,A,36.7946,-121.9897,197,386,100,60,,,,,,
254030,254030,UT,16:56:21 10-Apr-2024,Argos,B,36.8046,-122.0041,1154,1696,784,97,,,,,,
254030,254030,UT,17:22:10 10-Apr-2024,Argos,B,36.8216,-121.9887,1018,7789,133,113,,,,,,
254030,254030,UT,18:16:56 10-Apr-2024,Argos,2,36.8089,-121.9868,484,681,343,110,,,,,,
254030,254030,UT,18:38:02 10-Apr-2024,Argos,B,36.8061,-121.9910,1319,4067,427,116,,,,,,
254030,254030,UT,21:41:47 10-Apr-2024,Argos,B,36.8023,-122.0141,4522,5852,3494,91,,,,,,
254030,254030,UT,00:49:48 11-Apr-2024,Argos,B,36.8288,-122.0552,2589,4059,1650,73,,,,,,
254030,254030,UT,02:24:07 11-Apr-2024,Argos,B,36.8486,-122.0620,2950,5211,1669,76,,,,,,
254030,254030,UT,02:48:31 11-Apr-2024,Argos,B,36.8914,-122.0558,2280,149789,34,88,,,,,,
254030,254030,UT,04:17:29 11-Apr-2024,Argos,A,36.8936,-122.2544,193,350,105,76,,,,,,
254030,254030,UT,04:34:53 11-Apr-2024,Argos,B,36.8920,-122.2495,820,1956,343,26,,,,,,
254030,254030,UT,05:41:06 11-Apr-2024,Argos,B,36.8964,-122.3034,1805,2303,1414,81,,,,,,
254030,254030,UT,07:28:54 11-Apr-2024,Argos,B,36.9019,-122.3859,1818,2259,1462,84,,,,,,
254030,254030,UT,08:43:40 11-Apr-2024,Argos,B,36.9056,-122.4143,2589,5812,1153,75,,,,,,
254030,254030,UT,13:17:03 11-Apr-2024,Argos,B,36.9859,-122.5964,2587,119115,56,67,,,,,,
254030,254030,UT,14:07:12 11-Apr-2024,Argos,B,37.0674,-122.4152,3479,32403,373,25,,,,,,
254030,254030,UT,14:30:32 11-Apr-2024,Argos,B,37.0669,-122.4155,2886,5302,1570,28,,,,,,
254030,254030,UT,15:10:55 11-Apr-2024,Argos,B,37.0818,-122.4002,3312,4477,2449,67,,,,,,
254030,254030,UT,16:41:41 11-Apr-2024,Argos,B,37.0860,-122.4019,1821,2411,1374,75,,,,,,
254030,254030,UT,16:50:22 11-Apr-2024,Argos,B,37.0798,-122.4121,1351,28220,64,86,,,,,,
254030,254030,UT,17:24:08 11-Apr-2024,Argos,B,37.0959,-122.3944,1569,4954,496,86,,,,,,
254030,254030,UT,18:25:18 11-Apr-2024,Argos,B,37.1121,-122.3680,2121,5155,872,74,,,,,,
254030,254030,UT,18:57:38 11-Apr-2024,Argos,1,37.0926,-122.4365,749,1122,500,5,,,,,,
254030,254030,UT,20:51:43 11-Apr-2024,Argos,B,37.1184,-122.4789,3139,26267,375,177,,,,,,
254030,254030,UT,01:46:24 12-Apr-2024,Argos,B,37.1813,-122.5258,5811,11646,2899,96,,,,,,
254030,254030,UT,02:16:30 12-Apr-2024,Argos,B,37.2290,-122.5781,2347,28267,194,89,,,,,,
254030,254030,UT,02:17:22 12-Apr-2024,Argos,B,37.2279,-122.5852,3203,36787,278,89,,,,,,
254030,254030,UT,04:06:55 12-Apr-2024,Argos,B,37.2723,-122.5991,1032,12839,83,121,,,,,,
254030,254030,UT,04:06:55 12-Apr-2024,Argos,B,37.2676,-122.6294,3797,12580,1145,85,,,,,,
254030,254030,UT,05:30:54 12-Apr-2024,Argos,B,37.3164,-122.5768,1165,13666,99,150,,,,,,
254030,254030,UT,06:21:43 12-Apr-2024,Argos,B,37.2806,-122.5584,998,2983,333,49,,,,,,
254030,254030,UT,07:12:10 12-Apr-2024,Argos,B,37.2867,-122.5369,1256,15034,104,32,,,,,,
254030,254030,UT,07:59:33 12-Apr-2024,Argos,B,37.2631,-122.5453,1179,2139,649,54,,,,,,
254030,254030,UT,13:37:49 12-Apr-2024,Argos,A,37.2735,-122.5610,5633,131480,241,75,,,,,,
254030,254030,UT,14:25:34 12-Apr-2024,Argos,A,37.2781,-122.5373,153,262,89,49,,,,,,
254030,254030,UT,15:14:30 12-Apr-2024,Argos,B,37.2805,-122.5322,941,1238,714,89,,,,,,
254030,254030,UT,16:32:44 12-Apr-2024,Argos,B,37.2897,-122.5225,1417,2146,935,97,,,,,,
254030,254030,UT,16:57:51 12-Apr-2024,Argos,B,37.2894,-122.5290,1096,11292,106,127,,,,,,
254030,254030,UT,17:48:35 12-Apr-2024,Argos,B,37.3192,-122.5359,988,29208,33,103,,,,,,
