DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
254030,254030,0.500000,UT,,,01:27:55 10-Apr-2024,,A,36.7751,-121.8735,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,01:31:59 10-Apr-2024,,A,36.7751,-121.8735,,,,,,3.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,01:32:39 10-Apr-2024,,A,36.7643,-121.8962,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,01:44:57 10-Apr-2024,,B,36.7753,-121.8735,,,,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,03:02:22 10-Apr-2024,,B,36.7659,-121.8564,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,03:20:46 10-Apr-2024,,B,36.7700,-121.8632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,04:30:19 10-Apr-2024,,B,36.7801,-121.8493,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,04:35:45 10-Apr-2024,,B,36.7801,-121.8493,,,,,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,05:00:34 10-Apr-2024,,B,36.7800,-121.8531,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,05:16:04 10-Apr-2024,,B,36.7848,-121.8455,,,,,,3.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,05:24:31 10-Apr-2024,05:23:26 10-Apr-2024,-64,B,36.7848,-121.8455,CRC,,,,782,3.500,,,28.95,,,,,,,,,,,,,,85,25,255,0,,,,,,,0,,,0,118,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,05:54:24 10-Apr-2024,,B,36.7872,-121.8490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,06:12:15 10-Apr-2024,,B,36.7994,-121.9398,,,,,,3.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,06:14:06 10-Apr-2024,,B,36.7994,-121.9398,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,07:34:59 10-Apr-2024,,B,36.7999,-121.9255,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,07:53:12 10-Apr-2024,,B,36.8004,-121.9334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,3215
254030,254030,0.500000,UT,,,07:56:20 10-Apr-2024,,B,36.8004,-121.9334,,,,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,12:54:27 10-Apr-2024,,B,36.7904,-121.8805,,,,,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,12:55:03 10-Apr-2024,,B,36.7904,-121.8805,,,,,,3.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,13:34:37 10-Apr-2024,,B,36.7914,-121.8983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,13:35:41 10-Apr-2024,,B,36.7862,-121.9291,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,14:37:28 10-Apr-2024,,B,36.7880,-121.9240,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,15:18:27 10-Apr-2024,,B,36.7902,-121.9327,,,,,,,,,29.30,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,15:33:05 10-Apr-2024,,A,36.7946,-121.9897,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,15:35:46 10-Apr-2024,,A,36.7946,-121.9897,,,,,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,15:41:43 10-Apr-2024,,A,36.7946,-121.9897,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,16:56:21 10-Apr-2024,,B,36.8046,-122.0041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,17:19:21 10-Apr-2024,,B,36.8216,-121.9887,,,,,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,17:22:10 10-Apr-2024,,B,36.8216,-121.9887,,,,,,3.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,17:38:23 10-Apr-2024,,,,,,,,,,,,,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,17:46:35 10-Apr-2024,,,,,,,,,,3.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,18:14:16 10-Apr-2024,,2,36.8089,-121.9868,,,,,,,,,29.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,18:17:14 10-Apr-2024,,2,36.8089,-121.9868,,,,,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,18:19:20 10-Apr-2024,,2,36.8089,-121.9868,,,,,,3.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,18:21:55 10-Apr-2024,,2,36.8089,-121.9868,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,18:38:34 10-Apr-2024,18:37:27 10-Apr-2024,-66,B,36.8061,-121.9910,CRC,,,,1007,3.450,,,29.20,,,,,,,,,,,,,,121,25,255,0,,,,,,,0,,,0,109,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,18:38:37 10-Apr-2024,,B,36.8061,-121.9910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,19:21:36 10-Apr-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,21:41:48 10-Apr-2024,,B,36.8023,-122.0141,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,00:49:48 11-Apr-2024,,B,36.8288,-122.0552,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,02:49:38 11-Apr-2024,02:48:31 11-Apr-2024,-66,B,36.8914,-122.0558,CRC,,,,1132,3.425,,,30.80,,,,,,,,,,,,,,115,24,255,0,,,,,,,0,,,0,101,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,02:51:46 11-Apr-2024,,B,36.8914,-122.0558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,03:21:42 11-Apr-2024,,,,,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,04:17:29 11-Apr-2024,,A,36.8936,-122.2544,,,,,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,04:20:07 11-Apr-2024,,A,36.8936,-122.2544,,,,,,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,04:22:51 11-Apr-2024,,A,36.8936,-122.2544,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,04:34:53 11-Apr-2024,,B,36.8920,-122.2495,,,,,,,,,30.70,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,04:37:54 11-Apr-2024,,B,36.8920,-122.2495,,,,,1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,05:00:30 11-Apr-2024,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,07:28:54 11-Apr-2024,,B,36.9019,-122.3859,,,,,,,,,31.60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,08:43:40 11-Apr-2024,,B,36.9056,-122.4143,,,,,,,,,31.40,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,13:16:05 11-Apr-2024,,B,36.9859,-122.5964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,13:18:02 11-Apr-2024,,B,36.9859,-122.5964,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,14:11:00 11-Apr-2024,,B,37.0674,-122.4152,,,,,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,14:30:32 11-Apr-2024,,B,37.0669,-122.4155,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,14:40:20 11-Apr-2024,,B,37.0669,-122.4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,16:41:42 11-Apr-2024,,B,37.0860,-122.4019,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,16:49:00 11-Apr-2024,,B,37.0798,-122.4121,,,,,,,,,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,16:51:44 11-Apr-2024,,B,37.0798,-122.4121,,,,,1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,17:24:09 11-Apr-2024,,B,37.0959,-122.3944,,,,,,,,,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,18:25:19 11-Apr-2024,,B,37.1121,-122.3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,18:57:09 11-Apr-2024,,1,37.0926,-122.4365,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,18:58:08 11-Apr-2024,,1,37.0926,-122.4365,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
