DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
254030,254030,UT,16:27:40 29-Apr-2024,,,0,37.2218,-122.5613,CRC 196.30,11:13:51 17-Apr-2024,Status,88,144,165,232,16,127,4,215,152,172,220,195,210,148,130,134,171,235,24,61,109,152,140,,,,,,,,,
254030,254030,UT,20:20:32 29-Apr-2024,,,B,37.0743,-122.5842,CRC 11.3,20:20:32 29-Apr-2024,Status,91,109,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,23:25:39 29-Apr-2024,,,A,37.0132,-122.3278,CRC 15.4,,,15,74,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,23:28:41 29-Apr-2024,,,A,37.0132,-122.3278,CRC 15.8,23:30:32 29-Apr-2024,Status,65,240,165,253,232,151,129,19,30,221,232,21,84,70,245,16,1,50,23,201,80,255,129,,,,,,,,,
254030,254030,UT,03:31:54 30-Apr-2024,,,B,36.9401,-122.4530,CRC 9.15,03:31:54 30-Apr-2024,Status,57,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:31:00 30-Apr-2024,,,B,36.9143,-122.4559,CRC 11.8,04:31:00 30-Apr-2024,Status,27,143,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,14:50:15 30-Apr-2024,,,B,35.1353,-119.7628,CRC 11.0,14:50:15 30-Apr-2024,Status,27,150,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,14:51:19 30-Apr-2024,,,B,35.1353,-119.7628,CRC 4.14,,,164,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:57:55 01-May-2024,,,B,36.9324,-122.5436,CRC 85.59,04:57:55 01-May-2024,Status,74,176,164,182,237,172,136,174,69,109,67,206,182,87,148,233,245,230,225,48,209,24,188,,,,,,,,,
254030,254030,UT,06:39:08 01-May-2024,,,A,36.9555,-122.5201,CRC 4.11,06:39:08 01-May-2024,Status,84,169,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,17:52:24 01-May-2024,,,B,36.9477,-122.5144,CRC 6.0,17:52:24 01-May-2024,Status,86,64,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,18:48:58 01-May-2024,,,B,36.9327,-122.5283,CRC 13.10,18:48:58 01-May-2024,Status,93,253,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
