DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
254025,254025,UT,Strong,08-Apr-2024,17:20:28,08-Apr-2024,17:19:29
254025,254025,UT,Strong,18-Jun-2024,13:25:38,18-Jun-2024,13:22:19
