"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",254025,6218,36.95092,-122.06989,3,04/08/2024 17:19:28,Argos,0,452,NP,,401677651.74,04/08/2024 17:14:57,1,4,0,-124,401677651.74,-122.06989,36.95092,-122.06989,36.95092,50,3,207,586,73,96,231,88,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254025,6218,36.95092,-122.06989,3,04/08/2024 17:19:28,Argos,0,452,NP,,401677651.74,04/08/2024 17:19:29,1,4,0,-124,401677651.74,-122.06989,36.95092,-122.06989,36.95092,50,3,207,586,73,96,231,93,48,165,253,232,151,33,17,20,69,71,9,20,3,241,28,1,255,1,201,160,0,0,,,,,,,,,
"",254025,6218,36.95092,-122.06989,3,04/08/2024 17:19:28,Argos,0,452,NP,,401677651.74,04/08/2024 17:20:59,1,4,0,-124,401677651.74,-122.06989,36.95092,-122.06989,36.95092,50,3,207,586,73,96,231,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254025,6218,36.95092,-122.06989,3,04/08/2024 17:19:28,Argos,0,452,NP,,401677651.74,04/08/2024 17:22:29,1,4,0,-124,401677651.74,-122.06989,36.95092,-122.06989,36.95092,50,3,207,586,73,96,231,53,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254025,6218,36.95092,-122.06989,3,04/08/2024 17:19:28,Argos,0,452,NP,,401677651.74,04/08/2024 17:23:59,1,4,0,-124,401677651.74,-122.06989,36.95092,-122.06989,36.95092,50,3,207,586,73,96,231,78,135,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254025,6218,36.9502,-122.06962,B,04/08/2024 17:33:04,Argos,0,0,MB,,401677657.47,04/08/2024 17:33:05,1,1,0,-133,401677657.47,-122.06962,36.9502,-122.06962,36.9502,6,3,875,1114,687,92,1440,64,145,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254025,6218,,,,,,,0,MC,,401650000,04/10/2024 19:24:00,1,1,,,401650000,,,,,,,,,,,,53,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254025,6218,,,,,,,0,NN,,401650000,04/10/2024 20:05:14,1,1,0,-137,401650000,,,,,,,,,,,,91,112,165,253,232,151,33,21,37,80,100,165,20,4,75,54,25,191,1,195,128,15,68,,,,,,,,,
"",254025,6218,,,,,,,0,CS,,401650000,04/10/2024 23:06:34,1,1,0,-140,401650000,,,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254025,6218,,,,,,,0,CS,,401650000,04/11/2024 02:28:47,1,1,0,-136,401650000,,,,,,,,,,,,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
