"id","date","lc","lon","lat"
"254025",2024-04-08 17:19:28,"3",-122.0699,36.9509
"254025",2024-04-08 17:19:28,"3",-122.0699,36.9509
"254025",2024-04-08 17:19:28,"3",-122.0699,36.9509
"254025",2024-04-08 17:19:28,"3",-122.0699,36.9509
"254025",2024-04-08 17:19:28,"3",-122.0699,36.9509
"254025",2024-04-08 17:33:04,"B",-122.0696,36.9502
"254025",2024-04-11 02:40:17,"B",-121.9812,36.7466
"254025",2024-04-11 02:40:17,"B",-121.9812,36.7466
"254025",2024-04-11 02:49:17,"B",-122.0762,36.7226
"254025",2024-04-11 02:56:55,"B",-122.1092,36.7111
"254025",2024-04-11 04:20:37,"B",-122.2115,36.6419
"254025",2024-04-11 04:20:37,"B",-122.2115,36.6419
"254025",2024-04-11 04:33:35,"B",-122.3515,36.6603
"254025",2024-04-11 04:33:35,"B",-122.3515,36.6603
"254025",2024-04-11 05:40:47,"B",-122.3739,36.6466
"254025",2024-04-11 06:02:13,"A",-122.3818,36.6732
"254025",2024-04-11 06:02:13,"A",-122.3818,36.6732
"254025",2024-04-11 06:02:13,"A",-122.3818,36.6732
"254025",2024-04-11 07:05:30,"B",-122.3792,36.6742
"254025",2024-04-11 07:25:34,"B",-122.3789,36.6693
"254025",2024-04-11 07:25:34,"B",-122.3789,36.6693
"254025",2024-04-11 12:28:51,"B",-122.3753,36.6656
"254025",2024-04-11 12:52:14,"B",-122.4416,36.6255
"254025",2024-04-11 14:02:37,"A",-122.2251,36.7136
"254025",2024-04-11 14:02:37,"A",-122.2251,36.7136
"254025",2024-04-11 14:02:37,"A",-122.2251,36.7136
"254025",2024-04-11 14:31:34,"A",-122.1919,36.7196
"254025",2024-04-11 14:31:34,"A",-122.1919,36.7196
"254025",2024-04-11 14:31:34,"A",-122.1919,36.7196
"254025",2024-04-11 17:20:15,"B",-122.0925,36.7666
"254025",2024-04-11 17:20:15,"B",-122.0925,36.7666
"254025",2024-04-11 18:10:55,"B",-122.0572,36.777
"254025",2024-04-11 18:10:55,"B",-122.0797,36.7716
"254025",2024-04-11 18:23:14,"B",-122.1658,36.749
"254025",2024-04-11 18:23:14,"B",-122.1658,36.749
"254025",2024-04-11 18:59:32,"B",-122.1411,36.757
"254025",2024-04-12 00:06:06,"B",-122.0615,36.6796
"254025",2024-04-12 00:06:06,"B",-122.0615,36.6796
"254025",2024-04-12 00:38:45,"B",-122.0463,36.6671
"254025",2024-04-12 01:40:29,"B",-122.0169,36.653
"254025",2024-04-12 02:13:53,"A",-122.03,36.6963
"254025",2024-04-12 02:13:53,"A",-122.03,36.6963
"254025",2024-04-12 02:13:53,"A",-122.03,36.6963
"254025",2024-04-12 02:13:53,"B",-122.0029,36.6462
"254025",2024-04-12 02:27:28,"B",-121.9932,36.6919
"254025",2024-04-12 02:27:28,"B",-121.9932,36.6919
"254025",2024-04-12 04:09:25,"A",-121.9348,36.6791
"254025",2024-04-12 04:09:25,"A",-121.9348,36.6791
"254025",2024-04-12 04:09:25,"A",-121.9348,36.6791
"254025",2024-04-12 04:10:33,"B",-121.9215,36.6796
"254025",2024-04-12 04:10:33,"B",-121.9215,36.6796
"254025",2024-04-12 04:36:06,"A",-121.9395,36.6693
"254025",2024-04-12 04:36:06,"A",-121.9395,36.6693
"254025",2024-04-12 04:36:06,"A",-121.9395,36.6693
"254025",2024-04-12 05:43:32,"B",-121.9004,36.6787
"254025",2024-04-12 06:17:32,"B",-121.8968,36.6816
"254025",2024-04-12 07:10:50,"2",-122.0452,36.6414
"254025",2024-04-12 07:10:50,"2",-122.0452,36.6414
"254025",2024-04-12 07:10:50,"2",-122.0452,36.6414
"254025",2024-04-12 07:10:50,"2",-122.0452,36.6414
"254025",2024-04-12 07:10:50,"2",-122.0452,36.6414
"254025",2024-04-12 08:02:06,"B",-122.0724,36.6293
"254025",2024-04-12 08:02:06,"B",-122.0724,36.6293
"254025",2024-04-12 13:36:33,"B",-122.2546,36.598
"254025",2024-04-12 13:36:33,"B",-122.2546,36.598
"254025",2024-04-12 13:51:39,"B",-122.2503,36.5987
"254025",2024-04-12 19:38:30,"B",-122.5091,36.5508
"254025",2024-04-13 04:20:59,"B",-122.8577,36.4969
"254025",2024-04-13 06:00:31,"A",-122.536,36.6866
"254025",2024-04-13 06:00:31,"A",-122.536,36.6866
"254025",2024-04-13 06:00:31,"A",-122.536,36.6866
"254025",2024-04-13 07:13:04,"B",-122.5072,36.6965
"254025",2024-04-13 13:14:52,"B",-122.3926,36.775
"254025",2024-04-14 00:22:13,"A",-122.2447,36.4775
"254025",2024-04-14 00:22:13,"A",-122.2447,36.4775
"254025",2024-04-14 00:22:13,"A",-122.2447,36.4775
"254025",2024-04-14 01:16:59,"B",-122.2259,36.4796
"254025",2024-04-14 02:07:30,"B",-122.2232,36.4747
"254025",2024-04-14 02:53:23,"B",-122.243,36.4635
"254025",2024-04-14 02:53:23,"B",-122.243,36.4635
"254025",2024-04-14 03:06:39,"A",-122.311,36.4897
"254025",2024-04-14 03:06:39,"A",-122.311,36.4897
"254025",2024-04-14 03:06:39,"A",-122.311,36.4897
"254025",2024-04-14 03:18:29,"B",-122.3108,36.4901
"254025",2024-04-14 03:39:14,"B",-122.3105,36.4901
"254025",2024-04-14 03:53:23,"B",-122.3093,36.4899
"254025",2024-04-14 03:53:23,"B",-122.3093,36.4899
"254025",2024-04-14 04:46:00,"B",-122.2999,36.4757
"254025",2024-04-14 05:03:50,"B",-122.302,36.4751
"254025",2024-04-14 05:18:18,"B",-122.3047,36.4707
