DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
254025,254025,UT,17:19:28 08-Apr-2024,Argos,3,36.9509,-122.0699,207,586,73,96,,,,,,
254025,254025,UT,17:33:04 08-Apr-2024,Argos,B,36.9502,-122.0696,875,1114,687,92,,,,,,
254025,254025,UT,19:44:37 10-Apr-2024,User,,36.8042,-121.9159,,,,,,,,,,
254025,254025,UT,02:40:17 11-Apr-2024,Argos,B,36.7466,-121.9812,12889,435599,381,76,,,,,,
254025,254025,UT,02:49:17 11-Apr-2024,Argos,B,36.7226,-122.0762,23165,169641,3163,76,,,,,,
254025,254025,UT,02:56:55 11-Apr-2024,Argos,B,36.7111,-122.1092,20917,107871,4055,78,,,,,,
254025,254025,UT,04:20:37 11-Apr-2024,Argos,B,36.6419,-122.2115,2254,70664,71,100,,,,,,
254025,254025,UT,04:33:35 11-Apr-2024,Argos,B,36.6603,-122.3515,685,1549,302,163,,,,,,
254025,254025,UT,05:40:47 11-Apr-2024,Argos,B,36.6466,-122.3739,1401,1693,1158,94,,,,,,
254025,254025,UT,06:02:13 11-Apr-2024,Argos,A,36.6732,-122.3818,911,6584,126,82,,,,,,
254025,254025,UT,07:05:30 11-Apr-2024,Argos,B,36.6742,-122.3792,1377,3038,624,82,,,,,,
254025,254025,UT,07:25:34 11-Apr-2024,Argos,B,36.6693,-122.3789,1140,8685,149,35,,,,,,
254025,254025,UT,12:28:51 11-Apr-2024,Argos,B,36.6656,-122.3753,2438,3434,1731,42,,,,,,
254025,254025,UT,12:52:14 11-Apr-2024,Argos,B,36.6255,-122.4416,5835,35218,966,52,,,,,,
254025,254025,UT,14:02:37 11-Apr-2024,Argos,A,36.7136,-122.2251,6435,211897,195,92,,,,,,
254025,254025,UT,14:31:34 11-Apr-2024,Argos,A,36.7196,-122.1919,1674,12435,225,101,,,,,,
254025,254025,UT,17:20:15 11-Apr-2024,Argos,B,36.7666,-122.0925,1293,39231,42,84,,,,,,
254025,254025,UT,18:10:55 11-Apr-2024,Argos,B,36.7770,-122.0572,1586,4231,594,84,,,,,,
254025,254025,UT,18:10:55 11-Apr-2024,Argos,B,36.7716,-122.0797,2032,6777,609,76,,,,,,
254025,254025,UT,18:23:14 11-Apr-2024,Argos,B,36.7490,-122.1658,738,4636,117,178,,,,,,
254025,254025,UT,18:59:32 11-Apr-2024,Argos,B,36.7570,-122.1411,1095,1392,860,174,,,,,,
254025,254025,UT,00:06:06 12-Apr-2024,Argos,B,36.6796,-122.0615,1100,4562,265,10,,,,,,
254025,254025,UT,00:38:45 12-Apr-2024,Argos,B,36.6671,-122.0463,1109,1521,808,28,,,,,,
254025,254025,UT,01:40:29 12-Apr-2024,Argos,B,36.6530,-122.0169,1493,1867,1193,56,,,,,,
254025,254025,UT,02:13:53 12-Apr-2024,Argos,A,36.6963,-122.0300,400,7077,22,97,,,,,,
254025,254025,UT,02:13:53 12-Apr-2024,Argos,B,36.6462,-122.0029,1654,2075,1318,57,,,,,,
254025,254025,UT,02:27:28 12-Apr-2024,Argos,B,36.6919,-121.9932,1752,7522,408,88,,,,,,
254025,254025,UT,04:09:25 12-Apr-2024,Argos,A,36.6791,-121.9348,680,4644,99,83,,,,,,
254025,254025,UT,04:10:33 12-Apr-2024,Argos,B,36.6796,-121.9215,810,2205,297,79,,,,,,
254025,254025,UT,04:36:06 12-Apr-2024,Argos,A,36.6693,-121.9395,1554,3852,627,94,,,,,,
254025,254025,UT,05:43:32 12-Apr-2024,Argos,B,36.6787,-121.9004,4662,6826,3183,88,,,,,,
254025,254025,UT,06:17:32 12-Apr-2024,Argos,B,36.6816,-121.8968,4607,8556,2480,78,,,,,,
254025,254025,UT,07:10:50 12-Apr-2024,Argos,2,36.6414,-122.0452,395,641,242,114,,,,,,
