original_track_id,n_original,n_anywhere_inside,n_selected,pct_original_retained
254025_0,282,155,138,48.93617021276596
254026_0,111,61,30,27.027027027027028
254026_2,117,76,47,40.17094017094017
254027_0,162,160,148,91.35802469135803
254030_0,152,152,152,100
