whale_id,combined_retained,n,lon_min,lon_max,lon_median,lat_min,lat_max,lat_median
254025,FALSE,91,-123.1197047,-120.7983125,-122.1908866,34.33440333,37.42626179,36.41966246
254025,TRUE,189,-122.8958544,-120.8040974,-122.2107739,34.37075317,37.20775954,36.66356019
254026,FALSE,69,-123.8071199,-121.8537165,-122.3109919,35.93446672,37.53680621,36.68252658
254026,TRUE,157,-124.3302152,-121.4708057,-122.0919386,35.74681354,38.24488302,36.78868505
254027,FALSE,51,-123.0348263,-121.8058467,-121.9475505,36.64026924,37.66316814,36.84260837
254027,TRUE,107,-123.1038425,-121.8193478,-122.1959427,36.6613283,37.6986876,36.87959925
254030,FALSE,46,-122.935198,-122.0429471,-122.550097,36.66129894,37.4984374,36.984817385
254030,TRUE,104,-122.9013831,-121.8724711,-122.5642665,36.72961633,37.53609448,37.101716305
