fold_whale,whale_id,combined_cv_auc,matched_static_cv_auc,delta_cv_auc
1,254025,0.7716,0.6956,0.07599999999999996
2,254026,0.6701,0.7144,-0.044300000000000006
3,254027,0.8084,0.7288,0.0796
4,254030,0.6956,0.5691,0.12649999999999995
